À½Àý   ÃâÇöÈ½¼ö   ¹éºÐÀ²   ´©Àû¹éºÐÀ²
=====================================
°¡     444780     1.4239     1.4239
°¢      62763     0.2009     1.6249
°£      70882     0.2269     1.8518
°¤        297     0.0010     1.8527
°¥      12034     0.0385     1.8913
°¦         44     0.0001     1.8914
°¨      37840     0.1211     2.0126
°©       3518     0.0113     2.0238
°ª       5952     0.0191     2.0429
°«        483     0.0015     2.0444
°¬       4006     0.0128     2.0572
°­      43832     0.1403     2.1976
°®      12266     0.0393     2.2368
°¯         37     0.0001     2.2370
°°      35561     0.1138     2.3508
°±        359     0.0011     2.3520
°²         65     0.0002     2.3522
°³     115269     0.3690     2.7212
°´       5583     0.0179     2.7391
°µ         91     0.0003     2.7394
°¶        171     0.0005     2.7399
°·          7     0.0000     2.7399
°¸         42     0.0001     2.7401
°¹        364     0.0012     2.7412
°º          6     0.0000     2.7412
°»        928     0.0030     2.7442
°¼        140     0.0004     2.7447
°½         33     0.0001     2.7448
°¿        352     0.0011     2.7459
°À          1     0.0000     2.7459
°Á          1     0.0000     2.7459
°Â         11     0.0000     2.7459
°Ã          1     0.0000     2.7459
°Å      68141     0.2181     2.9641
°Æ       1821     0.0058     2.9699
°Ç      46182     0.1478     3.1178
°È        913     0.0029     3.1207
°É      11455     0.0367     3.1574
°Ë      22141     0.0709     3.2282
°Ì       1575     0.0050     3.2333
°Í     182105     0.5830     3.8163
°Î          4     0.0000     3.8163
°Ï         41     0.0001     3.8164
°Ð         12     0.0000     3.8165
°Ñ       1084     0.0035     3.8199
°Ò        107     0.0003     3.8203
°Ó         29     0.0001     3.8204
°Ô     120591     0.3861     4.2064
°Õ        805     0.0026     4.2090
°Ö        394     0.0013     4.2103
°×          5     0.0000     4.2103
°Ù         65     0.0002     4.2105
°Ú      13156     0.0421     4.2526
°Û          2     0.0000     4.2526
°Ü      12280     0.0393     4.2919
°Ý      27541     0.0882     4.3801
°Þ       1967     0.0063     4.3864
°ß      13571     0.0434     4.4299
°à          2     0.0000     4.4299
°á      60853     0.1948     4.6247
°â       1569     0.0050     4.6297
°ã       1220     0.0039     4.6336
°ä         24     0.0001     4.6337
°å       1894     0.0061     4.6397
°æ     126218     0.4041     5.0438
°ç        634     0.0020     5.0459
°è     125841     0.4029     5.4487
°ê          2     0.0000     5.4487
°ì         10     0.0000     5.4488
°í     457229     1.4638     6.9126
°î      10235     0.0328     6.9453
°ï       3944     0.0126     6.9580
°ð       5351     0.0171     6.9751
°ñ       6060     0.0194     6.9945
°ò         60     0.0002     6.9947
°ó         32     0.0001     6.9948
°ô         11     0.0000     6.9948
°õ        954     0.0031     6.9979
°ö       1483     0.0047     7.0026
°÷       9537     0.0305     7.0331
°ø     130387     0.4174     7.4506
°ù        103     0.0003     7.4509
°ú     209470     0.6706     8.1215
°û        880     0.0028     8.1243
°ü     110937     0.3552     8.4795
°ý       1201     0.0038     8.4833
±¡         33     0.0001     8.4834
±¤      27140     0.0869     8.5703
±¥        313     0.0010     8.5713
